target	95th	99th
5000	219.3	258.2
15000	295.5	382.8
25000	330.1	442.4
35000	244.0	325.3
45000	196.9	242.9
55000	187.0	220.3
65000	180.2	207.8
75000	174.7	204.8
85000	179.6	207.5
95000	182.6	211.0
105000	183.7	211.1
115000	178.4	206.6
125000	188.2	224.3
135000	186.7	222.9
145000	197.4	234.3
155000	195.7	232.3
165000	201.6	242.0
175000	210.0	250.4
185000	205.8	248.3
195000	207.4	247.7
205000	230.4	296.9
215000	215.7	256.8
225000	223.8	270.5
235000	228.2	283.2
245000	229.6	279.5
255000	324.7	700.1
265000	274.7	837.9
275000	272.1	730.7
285000	266.9	358.0
295000	269.3	337.5
305000	436.6	961.8
315000	301.8	419.5
325000	346.5	538.5
335000	428.2	923.8
345000	431.7	787.8
355000	409.8	490.8
