#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      157.3    32.4    72.9   107.8   122.0   201.1   219.3   258.2   5008.2     5000
read      195.3   219.9    66.3   112.7   126.7   263.1   295.5   382.8  14953.4    15000
read      187.7   153.2    60.2    97.2   110.9   282.5   330.1   442.4  25013.2    25000
read      146.3   170.1    60.2    84.1    90.4   211.5   244.0   325.3  35067.2    35000
read      128.5    -nan    60.2    82.6    87.7   177.5   196.9   242.9  44954.0    45000
read      126.6   146.3    60.2    82.7    88.1   171.0   187.0   220.3  54967.2    55000
read      125.4   162.5    60.2    84.4    90.2   165.1   180.2   207.8  65232.8    65000
read      123.8   181.7    54.8    82.9    89.1   161.1   174.7   204.8  75169.9    75000
read      127.6   211.0    54.8    85.3    92.2   165.4   179.6   207.5  85160.8    85000
read      131.1   218.6    60.2    88.7    96.0   168.3   182.6   211.0  94976.7    95000
read      132.4   256.3    54.8    89.5    97.4   169.4   183.7   211.1 105102.2   105000
read      130.5   265.4    54.8    89.1    96.9   165.5   178.4   206.6 115062.4   115000
read      135.7    -nan    54.8    91.8    99.7   172.8   188.2   224.3 124873.6   125000
read      135.2   327.6    54.8    92.0    99.8   171.1   186.7   222.9 135073.5   135000
read      141.5   329.6    54.8    97.0   104.2   181.4   197.4   234.3 145284.0   145000
read      141.2    -nan    54.8    97.2   104.4   180.2   195.7   232.3 154952.6   155000
read      145.5   362.2    60.2   100.0   108.5   184.9   201.6   242.0 164916.1   165000
read      151.5   379.4    60.2   103.0   112.1   194.8   210.0   250.4 174766.2   175000
read      149.0   357.4    60.2   101.8   110.6   189.1   205.8   248.3 185177.3   185000
read      151.9   314.5    60.2   104.4   113.6   193.7   207.4   247.7 194968.6   195000
read      162.1   347.3    60.2   110.0   120.3   206.6   230.4   296.9 204763.0   205000
read      156.3   387.8    54.8   108.2   118.2   199.1   215.7   256.8 215162.1   215000
read      160.7   390.2    60.2   110.6   120.8   204.2   223.8   270.5 224909.5   225000
read      164.0   404.6    60.2   113.2   123.4   207.0   228.2   283.2 235008.5   235000
read      167.8   425.7    60.2   117.6   127.7   210.2   229.6   279.5 245298.1   245000
read      188.6   456.3    60.2   119.2   130.0   233.5   324.7   700.1 254808.0   255000
read      191.3    -nan    66.3   119.5   130.6   237.4   274.7   837.9 265570.6   265000
read      190.0   494.1    60.2   122.2   132.9   238.9   272.1   730.7 275094.5   275000
read      183.5   501.8    66.3   121.2   132.4   240.8   266.9   358.0 284826.9   285000
read      185.7   359.9    60.2   124.8   135.4   243.6   269.3   337.5 294564.1   295000
read      225.3   380.7    66.3   130.5   142.0   299.9   436.6   961.8 304736.1   305000
read      201.5   412.6    66.3   130.9   142.1   271.6   301.8   419.5 314908.1   315000
read      217.2   289.4    66.3   134.6   145.4   297.9   346.5   538.5 325295.9   325000
read      241.3   334.3    66.3   140.0   150.1   338.2   428.2   923.8 334941.1   335000
read      251.6   373.3    66.3   143.0   153.8   364.3   431.7   787.8 344995.2   345000
read      258.4   414.5    72.9   148.1   162.4   374.2   409.8   490.8 354829.1   355000
