target	95th	99th
5000	250.5	292.2
15000	257.6	315.0
25000	276.3	366.1
35000	238.9	304.6
45000	622.3	1096.5
55000	188.2	224.4
65000	186.7	224.2
75000	184.6	216.9
85000	196.4	228.9
95000	196.0	235.3
105000	214.7	253.9
115000	207.9	248.3
125000	205.5	245.0
135000	212.8	251.6
145000	226.3	270.5
155000	238.7	287.3
165000	222.4	258.8
175000	224.3	265.2
185000	229.6	272.7
195000	273.6	413.7
205000	243.7	296.3
215000	256.0	325.8
225000	267.3	384.0
235000	258.3	354.9
245000	253.2	385.4
255000	305.9	583.5
265000	293.1	689.5
275000	292.0	394.3
285000	296.7	380.4
295000	757.9	1321.4
305000	409.6	905.6
315000	635.9	834.4
325000	493.9	884.9
335000	525.5	957.5
345000	717.3	1323.6
355000	836.7	1258.6
