Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.39     0.00      627     0.00     0.00  std::_Deque_base<Operation, std::allocator<Operation> >::_M_deallocate_node(Operation*)
  0.00      0.39     0.00      625     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::_M_pop_front_aux()
  0.00      0.39     0.00      625     0.00     0.00  _ZNSt5dequeI9OperationSaIS0_EE16_M_push_back_auxIJRKS0_EEEvDpOT_
  0.00      0.39     0.00      625     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::_M_reserve_map_at_back(unsigned long)
  0.00      0.39     0.00      503     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long) const
  0.00      0.39     0.00       75     0.00     0.00  std::_Iter_base<Operation**, false>::_S_base(Operation**)
  0.00      0.39     0.00       65     0.00     0.00  free_string_field(char**)
  0.00      0.39     0.00       54     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long* const&)
  0.00      0.39     0.00       45     0.00     0.00  std::_Niter_base<Operation**>::iterator_type std::__niter_base<Operation**>(Operation**)
  0.00      0.39     0.00       42     0.00     0.24  std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)
  0.00      0.39     0.00       30     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00      0.39     0.00       30     0.00     0.00  std::_Miter_base<Operation**>::iterator_type std::__miter_base<Operation**>(Operation**)
  0.00      0.39     0.00       27     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::end()
  0.00      0.39     0.00       27     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::begin()
  0.00      0.39     0.00       24     0.00     0.00  std::move_iterator<unsigned long*>::base() const
  0.00      0.39     0.00       24     0.00     0.00  std::_Iter_base<std::move_iterator<unsigned long*>, true>::_S_base(std::move_iterator<unsigned long*>)
  0.00      0.39     0.00       24     0.00     0.00  std::move_iterator<unsigned long*>::move_iterator(unsigned long*)
  0.00      0.39     0.00       24     0.00     0.00  std::_Miter_base<std::move_iterator<unsigned long*> >::iterator_type std::__miter_base<std::move_iterator<unsigned long*> >(std::move_iterator<unsigned long*>)
  0.00      0.39     0.00       24     0.00     0.00  std::move_iterator<unsigned long*> std::__make_move_if_noexcept_iterator<unsigned long*, std::move_iterator<unsigned long*> >(unsigned long*)
  0.00      0.39     0.00       21     0.00     0.00  LogHistogramSampler::total()
  0.00      0.39     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.00      0.39     0.00       15     0.00     0.00  Operation** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Operation*>(Operation* const*, Operation* const*, Operation**)
  0.00      0.39     0.00       15     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::_M_reallocate_map(unsigned long, bool)
  0.00      0.39     0.00       15     0.00     0.00  Operation** std::__copy_move_a<false, Operation**, Operation**>(Operation**, Operation**, Operation**)
  0.00      0.39     0.00       15     0.00     0.00  Operation** std::__copy_move_a2<false, Operation**, Operation**>(Operation**, Operation**, Operation**)
  0.00      0.39     0.00       15     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.39     0.00       15     0.00     0.00  Operation** std::copy<Operation**, Operation**>(Operation**, Operation**, Operation**)
  0.00      0.39     0.00       13     0.00     0.00  gengetopt_strdup(char const*)
  0.00      0.39     0.00       12     0.00     0.00  LogHistogramSampler::get_nth(double)
  0.00      0.39     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::new_allocator()
  0.00      0.39     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::~new_allocator()
  0.00      0.39     0.00       12     0.00     0.00  std::_Deque_base<Operation, std::allocator<Operation> >::_M_get_Tp_allocator() const
  0.00      0.39     0.00       12     0.00     0.00  std::_Deque_base<Operation, std::allocator<Operation> >::_M_get_map_allocator() const
  0.00      0.39     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator() const
  0.00      0.39     0.00       12     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::max_size() const
  0.00      0.39     0.00       12     0.00     0.00  std::allocator<Operation*>::allocator<Operation>(std::allocator<Operation> const&)
  0.00      0.39     0.00       12     0.00     0.00  std::allocator<Operation*>::~allocator()
  0.00      0.39     0.00       12     0.00     0.00  unsigned long* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<unsigned long>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00      0.39     0.00       12     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.39     0.00       12     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_deallocate(unsigned long*, unsigned long)
  0.00      0.39     0.00       12     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<unsigned long> >::__maxsize_helper<std::allocator<unsigned long> const>::value, unsigned long>::type std::allocator_traits<std::allocator<unsigned long> >::_S_max_size<std::allocator<unsigned long> const>(std::allocator<unsigned long> const&)
  0.00      0.39     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::max_size(std::allocator<unsigned long> const&)
  0.00      0.39     0.00       12     0.00     0.71  unsigned long* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<unsigned long*>, unsigned long*>(std::move_iterator<unsigned long*>, std::move_iterator<unsigned long*>, unsigned long*)
  0.00      0.39     0.00       12     0.00     0.00  unsigned long* std::__copy_move_a<true, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.39     0.00       12     0.00     0.71  unsigned long* std::__copy_move_a2<true, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.39     0.00       12     0.00     0.71  unsigned long* std::uninitialized_copy<std::move_iterator<unsigned long*>, unsigned long*>(std::move_iterator<unsigned long*>, std::move_iterator<unsigned long*>, unsigned long*)
  0.00      0.39     0.00       12     0.00     0.71  unsigned long* std::__uninitialized_copy_a<std::move_iterator<unsigned long*>, unsigned long*, unsigned long>(std::move_iterator<unsigned long*>, std::move_iterator<unsigned long*>, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.39     0.00       12     0.00     0.71  unsigned long* std::__uninitialized_move_if_noexcept_a<unsigned long*, unsigned long*, std::allocator<unsigned long> >(unsigned long*, unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.39     0.00       12     0.00     0.71  unsigned long* std::copy<std::move_iterator<unsigned long*>, unsigned long*>(std::move_iterator<unsigned long*>, std::move_iterator<unsigned long*>, unsigned long*)
  0.00      0.39     0.00       12     0.00     0.00  void std::_Destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.39     0.00       12     0.00     0.00  void std::_Destroy<unsigned long*, unsigned long>(unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.39     0.00       11     0.00     0.00  log_file_line(log_level_t, char const*, int, char const*, ...)
  0.00      0.39     0.00       11     0.00     0.00  Connection::drive_write_machine(double)
