#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      181.3    61.5    72.9   113.4   134.6   234.0   253.6   298.3   5019.0     5000
read      182.3   315.9    72.9   117.6   130.0   242.4   266.4   321.4  14959.0    15000
read      205.2   567.4    72.9   106.4   115.4   235.1   266.2   428.8  15183.5    25000
read      150.3   235.2    66.3    93.1   100.1   207.6   233.9   296.4  35164.5    35000
read      153.4   390.1    66.3    91.7    98.1   185.0   203.8   261.5  45060.0    45000
read      139.5    -nan    66.3    93.6   100.3   185.1   202.4   241.2  55096.5    55000
read      143.6   398.6    60.2    90.0    96.5   174.3   188.5   234.2  64712.0    65000
read      137.9   377.8    66.3    93.1   100.2   179.1   192.3   224.7  74584.0    75000
read      149.3   329.7    66.3    99.0   107.2   195.3   211.8   256.7  84717.5    85000
read      167.6   296.2    66.3   105.5   115.3   227.5   258.4   341.3  95184.0    95000
read      151.7   276.6    66.3   100.8   109.7   196.8   212.4   257.3 104869.9   105000
read      156.5   201.4    66.3   103.6   113.2   202.8   221.9   269.5 114885.0   115000
read     2212.1 42133.4    72.9   121.8   136.5  1104.9  1632.5  1932.2  69287.5   125000
read      191.5    -nan    66.3   118.7   130.7   264.5   301.0   416.3 134639.7   135000
read      228.9    -nan    66.3   118.7   130.5   282.9   511.9  1251.5 144568.0   145000
read      207.7 20867.2    66.3   121.9   134.0   278.5   333.9   785.1 154858.1   155000
read      275.5 20123.6    66.3   127.7   140.3   393.3   941.6  1376.6 164912.9   165000
read      379.9 17991.6    66.3   142.6   154.9   895.9  1134.6  1857.8 174683.3   175000
read      404.7 11192.5    66.3   148.7   167.2   834.2  1099.8  1620.7 185011.2   185000
read      471.7 11655.2    80.2   178.7   204.6   800.5   979.8  1409.2 194393.4   195000
read      940.8 12875.2    97.0   693.6   732.2  1576.3  1679.3  1831.5 198327.9   205000
read      951.7 13492.0   189.1   676.5   718.0  1528.8  1690.5  1946.9 198971.0   215000
read      923.8    -nan   117.4   529.0   720.4  1567.8  1672.5  1847.1 204919.9   225000
read      885.6    -nan    97.0   506.9   626.4  1472.6  1639.3  1813.5 213276.9   235000
read      962.6 13904.4   129.1   736.0   759.3  1609.0  1689.9  1832.2 199005.6   245000
read      938.4 14316.6   129.1   546.3   588.8  1595.7  1742.1  1851.3 204088.2   255000
read      945.3  4330.1   117.4   732.9   752.2  1590.2  1660.8  1813.5 202748.4   265000
read      925.8  4256.1   142.0   681.0   715.5  1547.0  1648.5  1805.3 207146.4   275000
read      880.4  6170.5   156.2   469.9   503.3  1393.4  1717.9  1857.8 101155.4   285000
read      922.1  4317.0    80.2   528.5   639.1  1577.4  1681.3  1836.4 208000.9   295000
read      957.3    -nan   129.1   737.4   761.2  1599.8  1691.6  1837.8 200376.9   305000
read      947.0  4413.8   156.2   682.0   721.0  1576.6  1668.2  1842.1 202597.9   315000
read      950.1  4509.1   171.9   729.2   745.3  1596.0  1659.5  1805.6 201954.2   325000
read      896.7  2201.8   142.0   515.7   546.4  1559.6  1697.1  1834.9 213935.4   335000
read      930.0    -nan   156.2   578.1   724.2  1579.3  1660.3  1826.5 187065.9   345000
read      845.4  2587.4   171.9   496.9   519.2  1413.2  1540.9  1825.1 226927.3   355000
